1 -0.166812 2.86419 6.4322 -2.62465 1.12634 -0.499058 0.0448694 -213.602
2 1.75251 -4.62364 1.43556 0.460856 -0.363846 0.176652 -0.159717 10.7529
3 0.916271 -0.138758 -0.842326 1.7151 -0.988548 0.448564 -0.259693 -47.2528
4 -0.234534 0.41961 -1.11288 1.85819 -1.04196 0.476056 -0.254795 -20.0327
5 -0.187236 0.390643 -1.08847 1.8531 -1.0391 0.474546 -0.249532 -16.2422
6 -0.180429 0.378521 -1.06626 1.83425 -1.02869 0.482021 -0.256847 -15.5047
7 -0.207528 0.407177 -1.1158 1.86365 -1.04458 0.485695 -0.233058 -7.75451
8 -0.207341 0.381368 -1.07381 1.84565 -1.04075 0.47874 -0.246253 2.04263
9 -0.206118 0.402898 -1.09945 1.8618 -1.06804 0.50873 -0.250678 -3.45074
10 -0.186938 0.379795 -1.07087 1.82493 -1.01223 0.478935 -0.244829 -17.7232
11 -0.207533 0.402491 -1.09675 1.86047 -1.05295 0.504528 -0.255189 -10.0861
12 -0.197378 0.375563 -1.06477 1.83158 -1.01717 0.455091 -0.233354 -6.71014
13 -0.211813 0.401459 -1.09906 1.8514 -1.03419 0.475505 -0.229415 -7.53774
14 -0.205355 0.371211 -1.06139 1.82144 -1.01135 0.454219 -0.227634 -1.09011
15 -0.198448 0.381308 -1.09584 1.8729 -1.07573 0.508888 -0.258988 -22.0933
16 -0.228578 0.434838 -1.20777 2.01204 -1.31236 0.938059 -0.769907 -12.1307
17 -0.270275 0.571951 -1.49582 2.60668 -2.57136 2.9103 -2.05441 -14.4859
18 -0.381887 0.903145 -2.17183 3.94706 -4.5569 3.36894 -1.73166 15.2681
19 0 0 0 0 0 0 0 0
20 0 0 0 0 0 0 0 0
21 0 0 0 0 0 0 0 0
22 0 0 0 0 0 0 0 0
23 0.17069 -2.72209 6.4968 -2.54475 1.0861 -0.466665 0.0350514 -61.1251
24 0.563267 -3.77903 1.03592 0.671496 -0.453046 0.213766 -0.175322 32.7021
25 0.529329 0.0301814 -0.929191 1.77963 -1.03125 0.463756 -0.259821 -42.0364
26 -0.258347 0.471765 -1.18876 1.91404 -1.07993 0.49991 -0.261297 -16.6456
27 -0.179004 0.363447 -1.073 1.84631 -1.05698 0.497947 -0.255266 -7.82254
28 -0.192222 0.388209 -1.08683 1.841 -1.01097 0.449293 -0.230542 -11.8447
29 -0.197136 0.376641 -1.06213 1.82257 -1.00104 0.462583 -0.248031 -9.19371
30 -0.198076 0.37443 -1.0667 1.82352 -1.01943 0.476789 -0.245808 -1.41792
31 -0.191333 0.380675 -1.07838 1.85658 -1.04879 0.48921 -0.25522 -10.5111
32 -0.19826 0.388642 -1.08323 1.84361 -1.03492 0.477538 -0.236248 -10.3296
33 -0.195878 0.373885 -1.06742 1.84755 -1.05405 0.495462 -0.245787 -11.0326
34 -0.198586 0.378364 -1.05573 1.80872 -0.9881 0.455284 -0.245135 -8.34344
35 -0.183425 0.359322 -1.0595 1.84011 -1.02868 0.451866 -0.219925 -12.957
36 -0.196123 0.374271 -1.07494 1.83185 -1.00683 0.469925 -0.259046 -2.4017
37 -0.21884 0.406352 -1.12502 1.87972 -1.06884 0.512251 -0.268916 -11.1248
38 -0.232761 0.447676 -1.20608 2.00645 -1.31108 0.927547 -0.764721 -7.89732
39 -0.271973 0.599952 -1.54202 2.67226 -2.65902 3.08317 -2.39052 -14.0537
40 -0.407213 0.964091 -2.24776 4.05366 -4.72868 3.45086 -1.46467 4.21427
